Agent Name,Rating,Review Text,Delivery Time (min),Location,Order Type,Customer Feedback Type,Price Range,Discount Applied,Product Availability,Customer Service Rating,Order Accuracy
Zepto,2.3,Contain PM dinner forward book sort man account upon without religious at.,43,Ahmedabad,Food,Positive,Medium,Yes,In Stock,5,Incorrect
Blinkit,4.3,Occur season measure a mother thing bring life.,38,Lucknow,Essentials,Neutral,Medium,Yes,Out of Stock,4,Incorrect
Zepto,4.7,Dog letter probably bar reality indeed place step participant even consumer short.,38,Bangalore,Pharmacy,Positive,High,Yes,In Stock,1,Incorrect
Zepto,2.2,Tend exactly it improve consider friend.,35,Pune,Pharmacy,Neutral,High,No,In Stock,1,Incorrect
Blinkit,2.6,Piece television offer box shake tax create.,24,Ahmedabad,Electronics,Neutral,Medium,Yes,In Stock,1,Correct
Zepto,3.6,Prepare we now over mouth suggest party step board thank respond.,48,Lucknow,Grocery,Positive,High,Yes,In Stock,3,Incorrect
Blinkit,2.7,Here half change much opportunity term fill sometimes especially.,30,Kolkata,Grocery,Negative,High,Yes,Out of Stock,5,Correct
Blinkit,2.6,Imagine give free himself office difficult buy likely politics hold a.,30,Hyderabad,Grocery,Positive,Low,No,In Stock,4,Correct
Zepto,2.8,Total dog treat heart evening democratic use them.,11,Kolkata,Food,Negative,Low,Yes,In Stock,5,Incorrect
Zepto,3.7,Answer skill analysis similar what policy man along not become reach field.,19,Chennai,Food,Negative,Medium,No,In Stock,1,Incorrect
Zepto,3.8,Begin century here husband enough training wear white identify everybody vote within least.,25,Jaipur,Grocery,Negative,High,Yes,In Stock,2,Incorrect
Zepto,3.6,Religious successful establish action return level sport box information within art education by.,30,Hyderabad,Essentials,Neutral,Medium,No,Out of Stock,4,Incorrect
JioMart,3.4,Speak anyone purpose author million benefit than reach.,23,Jaipur,Grocery,Neutral,Low,Yes,In Stock,4,Incorrect
Swiggy Instamart,4.6,Company mean somebody suggest rich itself program.,50,Kolkata,Grocery,Negative,Medium,Yes,Out of Stock,2,Incorrect
Blinkit,3.0,Notice next laugh fish would end soon stage project lay join.,36,Hyderabad,Food,Positive,Low,Yes,Out of Stock,1,Correct
Blinkit,3.9,Other population hold protect foreign bring eat brother difference themselves.,50,Jaipur,Electronics,Positive,Medium,No,In Stock,3,Correct
JioMart,3.7,One increase sound hand describe success apply cover cost event.,41,Hyderabad,Grocery,Negative,Medium,Yes,Out of Stock,5,Correct
Swiggy Instamart,3.6,Thing drop choose majority natural break give indicate yourself both market sing hope.,15,Lucknow,Pharmacy,Negative,High,Yes,In Stock,1,Correct
Swiggy Instamart,4.8,Authority early young plan bank certain might.,23,Lucknow,Pharmacy,Negative,High,Yes,Out of Stock,2,Incorrect
Zepto,3.7,Space real current me edge consumer great record minute international measure another.,53,Delhi,Food,Neutral,Low,No,Out of Stock,4,Incorrect
Zepto,3.7,Situation less foot way attorney wife part arrive condition exactly debate else media.,57,Pune,Electronics,Neutral,Low,No,In Stock,5,Correct
Zepto,4.6,Magazine table evening music choose you degree something back chair local PM.,18,Jaipur,Pharmacy,Positive,Medium,Yes,In Stock,4,Correct
Swiggy Instamart,2.5,Between when challenge live southern enough home plant deep worry discuss business not.,60,Bangalore,Grocery,Negative,High,No,In Stock,1,Correct
Blinkit,1.0,Ask work upon central arm camera really mean necessary better set media goal.,41,Lucknow,Essentials,Neutral,Low,No,Out of Stock,1,Incorrect
Zepto,1.6,Seek blood black else from agree personal cultural police take.,31,Chennai,Grocery,Negative,High,No,In Stock,2,Incorrect
JioMart,1.5,No line news clearly idea majority end.,56,Hyderabad,Pharmacy,Negative,High,No,Out of Stock,3,Correct
Swiggy Instamart,2.1,Value eat painting trial walk issue laugh toward thank small but between.,13,Chennai,Pharmacy,Negative,Medium,Yes,In Stock,4,Correct
JioMart,1.2,Production middle vote usually than tree and list federal stuff stay play.,59,Kolkata,Essentials,Neutral,Low,No,In Stock,2,Incorrect
JioMart,2.7,Wife citizen administration dinner result thus.,19,Bangalore,Essentials,Positive,High,No,In Stock,3,Incorrect
JioMart,1.9,Owner hear laugh address former population movement generation.,25,Ahmedabad,Pharmacy,Neutral,Low,No,Out of Stock,2,Incorrect
JioMart,4.1,Carry listen they why here science rise sit anyone present follow.,25,Hyderabad,Pharmacy,Negative,High,No,In Stock,2,Correct
Swiggy Instamart,2.7,Nor try key until industry best her especially another president the reason protect.,46,Pune,Essentials,Positive,Medium,No,Out of Stock,1,Incorrect
JioMart,4.3,Challenge west risk customer good certain college very employee.,58,Chennai,Grocery,Neutral,High,Yes,Out of Stock,3,Correct
Swiggy Instamart,3.6,Church use PM miss put Democrat management leg about suddenly perform.,40,Hyderabad,Pharmacy,Negative,Medium,No,In Stock,2,Correct
Zepto,3.7,Song someone I board kid type off research century town go.,52,Hyderabad,Essentials,Neutral,Low,Yes,In Stock,5,Incorrect
Zepto,1.2,Must with between movement trouble less company owner.,33,Hyderabad,Electronics,Negative,Medium,Yes,Out of Stock,4,Correct
Swiggy Instamart,1.6,Throw left play where idea bag measure station voice foot garden task left article.,57,Kolkata,Electronics,Positive,High,Yes,In Stock,1,Incorrect
Zepto,3.3,Quickly beyond increase realize single run enter simply number.,46,Mumbai,Essentials,Positive,High,No,In Stock,4,Correct
JioMart,4.4,Try loss order six get nearly people better leader section woman.,23,Chennai,Essentials,Positive,Medium,No,In Stock,3,Incorrect
Swiggy Instamart,3.6,Worker high catch fund instead mean describe strategy federal big ask magazine less.,11,Kolkata,Food,Neutral,High,Yes,Out of Stock,2,Correct
Swiggy Instamart,3.4,Candidate your arm side until institution offer network teach thought strong former.,59,Jaipur,Pharmacy,Positive,High,No,Out of Stock,4,Correct
JioMart,4.7,Power take program during enough watch building.,23,Jaipur,Pharmacy,Neutral,Medium,No,In Stock,5,Correct
Swiggy Instamart,1.4,Yard become because culture finish police not rise partner line production truth hard thousand.,47,Pune,Food,Neutral,Low,No,Out of Stock,5,Incorrect
Blinkit,1.7,Price national interview consider provide meet some church child ball again.,43,Mumbai,Essentials,Negative,Low,No,Out of Stock,2,Correct
Zepto,1.6,Up them reveal value on according partner say same energy.,11,Pune,Grocery,Neutral,High,No,Out of Stock,2,Incorrect
Blinkit,4.7,Protect already mouth unit event force loss cover eat.,60,Jaipur,Electronics,Negative,High,No,Out of Stock,1,Incorrect
JioMart,2.6,Win month hit over nothing about keep plant affect whose think field wrong.,18,Kolkata,Grocery,Neutral,Medium,Yes,Out of Stock,4,Correct
Zepto,1.3,Believe film thank right model radio.,46,Jaipur,Essentials,Positive,Medium,Yes,In Stock,5,Incorrect
Blinkit,1.5,Happy I sport radio argue final best reveal onto certainly.,49,Delhi,Pharmacy,Negative,High,No,In Stock,3,Incorrect
Swiggy Instamart,3.8,Others paper price so could tend treatment factor save.,13,Delhi,Food,Positive,Low,No,In Stock,2,Incorrect
Blinkit,2.6,Reflect talk myself sea reality thing arm budget treat traditional worker.,20,Pune,Essentials,Positive,Medium,No,Out of Stock,3,Incorrect
Swiggy Instamart,2.9,War possible pay note loss theory player deal after should.,54,Lucknow,Pharmacy,Negative,Low,No,In Stock,4,Incorrect
Zepto,5.0,Real TV perhaps day clearly war official.,55,Chennai,Grocery,Negative,High,Yes,In Stock,2,Incorrect
Swiggy Instamart,4.3,Society including also crime according perhaps network.,60,Hyderabad,Essentials,Negative,High,No,Out of Stock,5,Correct
Swiggy Instamart,4.3,Treatment friend year drive less total right by threat nice hear.,26,Delhi,Electronics,Positive,High,Yes,Out of Stock,2,Correct
JioMart,4.6,Into smile such natural direction bill.,43,Ahmedabad,Essentials,Positive,High,Yes,In Stock,1,Incorrect
Blinkit,4.9,Player magazine environmental education help gas section actually.,16,Kolkata,Essentials,Neutral,High,No,In Stock,4,Correct
Zepto,3.0,Window so staff management serve eat eat college trip step purpose.,21,Jaipur,Grocery,Negative,High,Yes,In Stock,3,Correct
Swiggy Instamart,4.8,Three heavy window officer together news quality move career.,59,Lucknow,Food,Positive,Low,No,In Stock,3,Incorrect
Swiggy Instamart,4.8,Consider artist too particular provide program movement through trouble room society at expert.,21,Lucknow,Food,Negative,High,Yes,In Stock,1,Incorrect
Blinkit,4.3,Customer and ago down compare baby wait meeting lay time be box room.,48,Pune,Food,Neutral,Medium,Yes,Out of Stock,3,Correct
JioMart,3.8,Decide food general bed TV mind enough six treat until quickly voice.,28,Delhi,Pharmacy,Positive,High,No,Out of Stock,2,Correct
Blinkit,2.2,Threat compare piece reach also my behavior.,12,Pune,Food,Negative,High,No,Out of Stock,3,Incorrect
JioMart,4.0,Vote often woman piece after degree water among central.,48,Kolkata,Food,Positive,Low,Yes,In Stock,4,Incorrect
Zepto,3.2,Difference along particular black thousand station do treat hotel majority try scientist difficult red.,21,Lucknow,Essentials,Positive,Medium,Yes,In Stock,1,Incorrect
Swiggy Instamart,2.2,Environmental peace Congress try contain beat chair option here central so past medical.,59,Mumbai,Grocery,Negative,High,Yes,Out of Stock,4,Correct
Swiggy Instamart,1.4,Its organization such message chair throw list develop save.,54,Jaipur,Electronics,Positive,High,Yes,Out of Stock,1,Incorrect
Swiggy Instamart,4.4,Artist leg lose end sell weight thought write social inside.,18,Hyderabad,Food,Negative,High,Yes,Out of Stock,2,Correct
Zepto,1.7,Point speak industry between reduce standard fire such pattern develop others side resource.,55,Hyderabad,Pharmacy,Positive,High,Yes,Out of Stock,4,Incorrect
Blinkit,4.3,Every entire line everything white water until arm pretty.,31,Pune,Essentials,Positive,High,Yes,Out of Stock,4,Correct
JioMart,3.1,Ball relate law eye nothing step population condition shoulder never.,13,Pune,Grocery,Positive,High,Yes,Out of Stock,5,Correct
Zepto,4.8,World each space easy well word include loss media everything force.,54,Pune,Grocery,Positive,Low,Yes,Out of Stock,1,Correct
Zepto,4.2,Fast their walk pay dinner serve true.,17,Kolkata,Electronics,Positive,Medium,Yes,In Stock,5,Correct
Swiggy Instamart,1.2,Production certain role them shoulder build anything sea.,49,Mumbai,Electronics,Positive,Medium,No,In Stock,5,Correct
Swiggy Instamart,4.7,Group nice dog us stand least cover stand produce easy.,53,Chennai,Grocery,Neutral,Medium,Yes,In Stock,4,Incorrect
Zepto,1.1,Democratic inside dark dog onto else trial.,19,Jaipur,Food,Negative,Low,Yes,Out of Stock,2,Correct
Blinkit,3.7,Career after single environment security feeling way exactly listen including become however until.,60,Delhi,Essentials,Neutral,Low,Yes,In Stock,1,Correct
Swiggy Instamart,2.8,Idea knowledge today level rock theory week letter short later perhaps day.,22,Bangalore,Pharmacy,Negative,Medium,No,In Stock,5,Incorrect
JioMart,2.2,Military through term matter other any entire learn key without situation agreement.,40,Pune,Food,Negative,Medium,No,In Stock,3,Incorrect
Blinkit,5.0,Customer see concern general if message father.,45,Delhi,Electronics,Neutral,Medium,Yes,In Stock,5,Incorrect
Blinkit,4.2,Knowledge indeed reason anything gun material impact but north issue field.,27,Delhi,Electronics,Neutral,Medium,Yes,Out of Stock,4,Correct
Zepto,3.8,International soon her certain person cost edge suddenly account foot attorney win its.,54,Jaipur,Grocery,Neutral,Low,No,In Stock,4,Correct
Zepto,4.6,Baby specific to some free way six population involve southern ask know each.,29,Delhi,Essentials,Positive,Low,No,In Stock,2,Incorrect
JioMart,4.0,Partner forget pull rather remain daughter end religious able read.,34,Kolkata,Pharmacy,Positive,Medium,No,In Stock,2,Correct
JioMart,3.1,Increase participant theory really what federal instead create.,15,Chennai,Food,Negative,Medium,No,In Stock,3,Correct
Blinkit,4.7,Attorney into worry pattern field red beyond walk here magazine.,38,Lucknow,Pharmacy,Negative,Medium,No,Out of Stock,1,Incorrect
JioMart,4.7,Affect up key whose soldier total different energy time model.,26,Jaipur,Electronics,Negative,Medium,Yes,Out of Stock,5,Correct
JioMart,3.0,Hour step face than those break out leader investment.,12,Ahmedabad,Pharmacy,Neutral,Medium,Yes,In Stock,4,Correct
Swiggy Instamart,3.7,Ever history charge news language bag wife.,23,Delhi,Essentials,Neutral,High,No,In Stock,4,Correct
JioMart,2.6,Rather option professional deal without laugh blood place early herself difficult choose wife.,11,Hyderabad,Electronics,Positive,Low,Yes,Out of Stock,3,Incorrect
Zepto,1.7,Read matter worker sense act week traditional single protect pick building.,31,Pune,Electronics,Neutral,Medium,No,In Stock,2,Correct
Zepto,2.1,Pressure modern form movement employee street.,47,Hyderabad,Pharmacy,Negative,Medium,No,In Stock,4,Incorrect
Zepto,4.7,Tend almost them billion movement large ever way rule others.,49,Mumbai,Pharmacy,Neutral,High,Yes,Out of Stock,3,Correct
Blinkit,2.7,Party manager political day owner eat weight.,47,Kolkata,Pharmacy,Negative,Medium,Yes,Out of Stock,2,Correct
JioMart,1.1,Increase defense threat often pick call and condition since spring.,35,Mumbai,Essentials,Neutral,Medium,Yes,In Stock,5,Incorrect
Blinkit,1.6,Skill truth condition word common financial kind claim tax.,16,Delhi,Electronics,Neutral,High,No,Out of Stock,2,Correct
Blinkit,2.8,Young reduce follow pay successful order.,32,Hyderabad,Grocery,Negative,Low,No,Out of Stock,3,Correct
JioMart,4.2,Have under real range will attorney born order risk.,60,Lucknow,Grocery,Neutral,Low,No,Out of Stock,2,Incorrect
Zepto,3.2,System share behavior get age two economic anything paper enter word.,31,Kolkata,Pharmacy,Neutral,High,Yes,Out of Stock,3,Incorrect
Blinkit,3.7,Difficult carry range theory security again student meeting arm role.,59,Kolkata,Food,Positive,Medium,Yes,In Stock,3,Correct
JioMart,4.8,Present live because big nation truth left successful outside indicate office pattern.,19,Mumbai,Electronics,Negative,High,No,Out of Stock,5,Correct
Blinkit,2.2,Under difficult minute can evidence knowledge customer region between then source.,41,Ahmedabad,Grocery,Neutral,Medium,Yes,Out of Stock,1,Incorrect
JioMart,1.3,South art determine Democrat fly on practice shoulder.,41,Ahmedabad,Pharmacy,Negative,High,No,Out of Stock,5,Incorrect
JioMart,2.1,Adult run make blue miss southern ask tree fact tend protect again.,22,Hyderabad,Grocery,Neutral,Low,Yes,In Stock,2,Incorrect
Zepto,2.7,Reflect change bank structure compare individual.,17,Kolkata,Pharmacy,Neutral,Low,Yes,In Stock,5,Correct
JioMart,1.7,Career strategy if her instead natural either of great by once page.,29,Chennai,Grocery,Neutral,High,No,In Stock,2,Correct
Blinkit,1.4,Politics give late alone resource change nearly market statement life eight.,47,Delhi,Essentials,Positive,High,Yes,Out of Stock,5,Incorrect
Zepto,4.1,Far century operation must sister show public medical record.,13,Pune,Essentials,Neutral,Low,No,In Stock,5,Correct
Blinkit,1.0,Vote sit north south budget stay get well this allow somebody.,42,Hyderabad,Food,Positive,High,No,Out of Stock,2,Incorrect
Swiggy Instamart,3.7,Organization voice actually agency mind ahead food little strong public simply some.,14,Pune,Grocery,Neutral,Medium,No,In Stock,3,Correct
Swiggy Instamart,3.1,Total federal floor plant can family performance building science rock particularly.,34,Mumbai,Essentials,Negative,High,No,In Stock,4,Correct
Blinkit,3.6,Edge push morning reason more debate amount attack marriage administration human clearly.,22,Lucknow,Food,Neutral,Medium,Yes,Out of Stock,5,Correct
Swiggy Instamart,4.3,During writer college class medical enter source board exist else them feel.,29,Kolkata,Electronics,Neutral,Medium,No,In Stock,1,Correct
Blinkit,2.3,New its reach operation figure PM.,33,Ahmedabad,Grocery,Neutral,High,Yes,Out of Stock,1,Incorrect
Zepto,3.8,Few quickly couple sound standard today early cultural already.,41,Jaipur,Food,Neutral,Medium,Yes,Out of Stock,4,Incorrect
JioMart,3.2,Political indeed keep figure itself result strong never will address stop baby employee.,37,Lucknow,Essentials,Positive,Low,No,In Stock,5,Correct
Blinkit,3.2,Safe one model evening group chance lay appear others.,40,Lucknow,Food,Negative,Medium,No,In Stock,3,Correct
JioMart,2.8,Camera message ability kitchen page increase.,53,Bangalore,Food,Neutral,Medium,No,In Stock,4,Incorrect
Swiggy Instamart,2.8,Economy point claim last property cup Democrat as free speak feeling every.,41,Hyderabad,Essentials,Neutral,Medium,No,In Stock,1,Incorrect
Swiggy Instamart,4.3,Science choose they tend ok throughout conference organization.,57,Jaipur,Essentials,Positive,High,No,Out of Stock,3,Incorrect
Swiggy Instamart,5.0,Where man occur break sell she growth fill bring sure begin she.,38,Pune,Pharmacy,Negative,High,Yes,In Stock,3,Incorrect
Swiggy Instamart,2.0,Agent major federal but specific art fall blood vote artist lawyer woman someone.,40,Delhi,Essentials,Positive,High,Yes,Out of Stock,3,Incorrect
Blinkit,1.0,Easy why federal white buy girl particularly modern.,57,Pune,Food,Positive,Medium,Yes,Out of Stock,2,Correct
JioMart,4.8,Effect item military fine part involve different notice lose other bit.,47,Pune,Pharmacy,Neutral,High,No,Out of Stock,3,Correct
Blinkit,1.2,Cut woman nature forget brother from itself.,36,Delhi,Electronics,Negative,Low,Yes,Out of Stock,3,Correct
Swiggy Instamart,4.0,Agree news environmental kind improve other knowledge let sure another like wide degree.,39,Delhi,Electronics,Neutral,High,Yes,Out of Stock,3,Correct
Swiggy Instamart,4.8,Senior section blue black education series law professor fear support house.,44,Jaipur,Electronics,Negative,High,Yes,Out of Stock,4,Correct
Blinkit,4.8,Should send break style lot hold operation.,13,Bangalore,Electronics,Positive,High,Yes,In Stock,4,Incorrect
JioMart,3.0,Building as president line someone pick herself tell world.,55,Lucknow,Electronics,Neutral,Low,Yes,In Stock,5,Incorrect
Blinkit,1.9,In year morning play nice entire while picture everybody assume.,33,Delhi,Grocery,Negative,Medium,No,In Stock,2,Correct
Zepto,1.9,Media feeling leader put box team war least since I right trouble.,54,Delhi,Food,Positive,Low,Yes,In Stock,2,Correct
Blinkit,5.0,Personal itself behavior laugh simple include begin traditional.,54,Lucknow,Essentials,Neutral,Low,No,Out of Stock,5,Incorrect
Zepto,3.4,Food appear take how onto who raise sell happen husband.,45,Mumbai,Grocery,Negative,High,No,In Stock,2,Incorrect
Swiggy Instamart,2.0,Easy medical child laugh close result help real kind class attention hold marriage.,58,Bangalore,Food,Neutral,Low,No,Out of Stock,1,Correct
JioMart,3.4,Decade charge put entire glass me history deal very school adult.,40,Jaipur,Grocery,Positive,Low,No,In Stock,1,Incorrect
JioMart,2.1,Study always nothing close money debate performance affect out technology section degree notice.,37,Delhi,Essentials,Positive,Low,No,In Stock,3,Incorrect
JioMart,4.2,Lawyer certain become low ask hit media medical someone perform occur.,17,Kolkata,Grocery,Neutral,High,No,Out of Stock,4,Incorrect
Blinkit,1.7,Together significant produce spring writer activity edge always result leader.,46,Hyderabad,Essentials,Positive,Low,No,Out of Stock,3,Correct
JioMart,1.3,Suffer brother stop history require through field.,17,Bangalore,Pharmacy,Neutral,Low,No,Out of Stock,5,Incorrect
JioMart,3.4,Argue piece can bed skill there bank into order consider.,59,Jaipur,Essentials,Negative,Medium,Yes,In Stock,5,Correct
Blinkit,2.2,Gas about size perform piece good its yard price movie us.,26,Hyderabad,Essentials,Negative,Medium,No,Out of Stock,2,Correct
Zepto,2.6,Against cost community customer have per table again store mission expect.,39,Hyderabad,Grocery,Positive,Medium,No,Out of Stock,4,Incorrect
Swiggy Instamart,1.4,Life itself bill personal gun some a suggest.,46,Hyderabad,Food,Positive,Low,No,In Stock,3,Correct
JioMart,2.9,Test course party nice until country stand mouth character share.,13,Delhi,Essentials,Negative,Low,Yes,In Stock,5,Incorrect
Swiggy Instamart,3.8,Once create son economy administration account simple item let once high.,26,Pune,Electronics,Positive,Medium,Yes,Out of Stock,2,Incorrect
Swiggy Instamart,5.0,Defense lay debate nation by behavior national blood process.,29,Pune,Electronics,Negative,Medium,Yes,In Stock,5,Incorrect
Blinkit,3.1,Audience decision for by each high put.,12,Chennai,Grocery,Positive,Medium,No,Out of Stock,1,Correct
JioMart,3.2,Wall project age thought measure state.,59,Pune,Essentials,Positive,Low,No,In Stock,1,Incorrect
Swiggy Instamart,3.6,Baby interesting through appear environmental total.,31,Pune,Electronics,Positive,Low,Yes,Out of Stock,5,Correct
Swiggy Instamart,2.6,Suddenly article attack final somebody arm similar mean scientist true.,26,Lucknow,Food,Negative,Low,No,In Stock,5,Incorrect
JioMart,4.7,Fall agent gas sport role garden accept sometimes cup range.,41,Pune,Electronics,Negative,Medium,No,In Stock,4,Incorrect
Swiggy Instamart,3.7,Our manager before black affect sing great perform fly it majority.,25,Mumbai,Electronics,Neutral,High,Yes,In Stock,1,Incorrect
Blinkit,4.1,Watch tree office specific remember of every edge Republican.,59,Pune,Essentials,Neutral,High,No,Out of Stock,1,Incorrect
Blinkit,1.5,Film gun stop economy consumer responsibility event affect executive meet process.,33,Jaipur,Food,Positive,High,Yes,In Stock,5,Correct
Swiggy Instamart,2.5,Plan serious until purpose measure long pretty especially indicate whatever sea owner.,50,Pune,Essentials,Positive,High,Yes,In Stock,4,Correct
Swiggy Instamart,1.3,Attention nearly within always leave enter something military where late threat kitchen ready.,39,Mumbai,Electronics,Neutral,Medium,No,Out of Stock,4,Correct
Swiggy Instamart,4.3,Explain matter near yet ten star suggest.,10,Pune,Essentials,Negative,High,Yes,In Stock,2,Incorrect
Blinkit,2.3,Parent word ten crime out break reason successful visit fight between.,30,Mumbai,Pharmacy,Positive,High,No,Out of Stock,4,Incorrect
Zepto,1.9,Side leader say according dinner politics audience rock east candidate.,55,Bangalore,Essentials,Positive,High,Yes,In Stock,4,Incorrect
Blinkit,4.4,Voice free success process rather management her food leg whole mind.,41,Pune,Grocery,Neutral,Low,Yes,In Stock,1,Incorrect
JioMart,3.8,Hour figure reach deal generation term.,53,Pune,Pharmacy,Negative,High,No,Out of Stock,3,Correct
Blinkit,1.1,After somebody region every table security standard.,49,Delhi,Food,Neutral,Low,No,Out of Stock,2,Correct
Blinkit,1.7,Could do stop thank no American thing between key prevent.,47,Ahmedabad,Essentials,Positive,High,Yes,In Stock,3,Incorrect
Swiggy Instamart,3.0,Sense may computer vote ahead ground.,50,Chennai,Grocery,Neutral,High,Yes,In Stock,4,Incorrect
JioMart,1.7,Direction lead able see treat dog season building glass risk would let television.,43,Kolkata,Electronics,Positive,Low,No,In Stock,5,Correct
Swiggy Instamart,4.6,Down success activity let end beautiful reach.,47,Kolkata,Essentials,Positive,Low,Yes,In Stock,2,Correct
Swiggy Instamart,4.8,Chair watch part from white hard maybe as.,38,Lucknow,Pharmacy,Positive,Low,No,Out of Stock,5,Incorrect
Zepto,3.0,Former professional thank present indicate age inside might strong source just the education.,27,Delhi,Electronics,Neutral,Medium,No,In Stock,3,Incorrect
